parentSku,subSku,type,lengthInch,collapsedDimensions,weightG,title,shortTitle,displayPrice,handleStyle,handOrientation,extendedLengthCm
TSG17,无,Spinning,70.86,37.40*1.18*1.18,150,"High-Carbon Lure Rod - Two-Section Plug-in, EVA Grip, Compact Storage",High-Carbon Lure Rod,,,,
TSG18,无,Spinning,70.86,37.40*1.18*1.18,150,"ML Tone Premium Red Lure Rod - Ceramic Guides, Lure Hooker, Bass & Blackfish",Red ML Tone Lure Rod,,,,
TSG19,无,Casting,70.86,37.40*1.18*1.18,150,"UL Tone Carbon Casting Rod - Super Soft, Wood Grip, Premium Colorway",UL Tone Carbon Casting Rod,,,,
TSG20,无,Casting,70.86,37.40*1.18*1.18,100,"Camo Casting Rod - Ceramic Guides, Lightweight, Quick Response, Entry-Level",Camo Casting Rod,,,,
TSG21,无,Casting,70.86,37.40*1.18*1.18,100,"Camo Casting Rod - Ceramic Guides, Lightweight, Quick Response, Entry-Level",Camo Casting Rod,,,,
TSG22,无,Spinning,70.86,37.40*1.18*1.18,150,"Green Carbon Fiber Rod - Lightweight, Strong, Medium-Fast, Segmented Grip, All Waters",Green Carbon Fiber Rod,,,,
TSG23,TSG23A,Casting,34.65,34.65*1.18*1.18,150,"Black Carbon M-Tone Casting Rod - Large Guide, Sensitive Tip, Fresh & Saltwater",Black M-Tone Casting Rod,,,,
TSG23,TSG23B,Casting,70.86,37.40*1.18*1.18,150,,,,,,
TSG23,TSG23C,Spinning,34.65,34.65*1.18*1.18,150,,,,,,
TSG23,TSG23D,Spinning,70.86,37.40*1.18*1.18,150,,,,,,
TSG23,TSG23E,Casting,82.68,42.13*1.18*1.18,200,,,,,,
TSG23,TSG23F,Spinning,82.68,42.13*1.18*1.18,200,,,,,,
TSG24,TSG24A,Casting,34.65,34.65*1.18*1.18,150,White Carbon Fiber Rod - High Power - Casting & Spinning - EVA Grip,White Carbon Rod C&S,,,,
TSG24,TSG24B,Casting,70.86,37.40*1.18*1.18,150,,,,,,
TSG24,TSG24C,Spinning,34.65,34.65*1.18*1.18,150,,,,,,
TSG24,TSG24D,Spinning,70.86,37.40*1.18*1.18,150,,,,,,
TSG24,TSG24E,Casting,82.68,42.13*1.18*1.18,200,,,,,,
TSG24,TSG24F,Spinning,82.68,42.13*1.18*1.18,200,,,,,,
TSG25,TSG25A,Casting,34.65,34.65*1.18*1.18,150,M Tone Carbon Fiber Lure Rod - Casting/Spinning - Ceramic Guides - Medium-Light,M Tone Carbon Lure Rod,,,,
TSG25,TSG25B,Casting,70.86,37.40*1.18*1.18,150,,,,,,
TSG25,TSG25C,Casting,82.68,42.13*1.18*1.18,200,,,,,,
TSG25,TSG25D,Spinning,34.65,34.65*1.18*1.18,150,,,,,,
TSG25,TSG25E,Spinning,70.86,37.40*1.18*1.18,150,,,,,,
TSG25,TSG25F,Spinning,82.68,42.13*1.18*1.18,200,,,,,,
TSG26,TSG26A,Casting,82.68,42.52*1.97*1.97,200,"Carbon Fiber Long Casting Rod - Oversized Guides, Rubber Grip - Multi-Size",Long Casting Carbon Rod,,,,
TSG26,TSG26B,Casting,89.76,46.46*1.97*1.97,200,,,,,,
TSG26,TSG26C,Casting,94.49,49.21*1.97*1.97,200,,,,,,
TSG26,TSG26D,Spinning,82.68,42.52*1.97*1.97,200,,,,,,
TSG26,TSG26E,Spinning,89.76,46.46*1.97*1.97,200,,,,,,
TSG26,TSG26F,Spinning,94.49,49.21*1.97*1.97,200,,,,,,
TSG27,TSG27A,Casting,34.65,34.65*1.18*1.18,150,"Silver-Black Carbon Fiber Rod - Casting/Spinning - Ceramic Guides, Integrated Grip",Silver-Black Carbon Rod,,,,
TSG27,TSG27B,Casting,70.86,37.40*1.18*1.18,150,,,,,,
TSG27,TSG27C,Casting,82.68,42.13*1.18*1.18,200,,,,,,
TSG27,TSG27D,Spinning,34.65,34.65*1.18*1.18,150,,,,,,
TSG27,TSG27E,Spinning,70.86,37.40*1.18*1.18,150,,,,,,
TSG27,TSG27F,Spinning,82.68,42.13*1.18*1.18,200,,,,,,
TSG28,TSG28A,Spinning,34.65,34.65*1.18*1.18,150,"Ultra-Light Carbon Fiber Lure Rod - Two-Section, Wood Handle - Bass & Pike",Ultra-Light Carbon Lure Rod,,,,
TSG28,TSG28B,Casting,34.65,34.65*1.18*1.18,150,,,,,,
TSG28,TSG28C,Spinning,70.86,37.40*1.18*1.18,150,,,,,,
TSG28,TSG28D,Casting,70.86,37.40*1.18*1.18,150,,,,,,
TSG28,TSG28E,Spinning,82.68,42.13*1.18*1.18,200,,,,,,
TSG28,TSG28F,Casting,82.68,42.13*1.18*1.18,200,,,,,,
TSG29,TSG29A,Casting,70.86,34.65*1.18*1.18,150,"Carbon Fiber Lure Rod - Blue/Orange - Anti-Tangle Guides, EVA Grip - Bass & Sturgeon",Blue/Orange Carbon Lure Rod,,,,
TSG29,TSG29B,Casting,82.68,37.40*1.18*1.18,150,,,,,,
TSG29,TSG29C,Spinning,34.65,34.65*1.18*1.18,150,,,,,,
TSG29,TSG29D,Spinning,70.86,37.40*1.18*1.18,150,,,,,,
TSG29,TSG30,Casting,70.86,34.65*1.18*1.18,150,,,,,,
TSG29,TSG30B,Casting,82.68,37.40*1.18*1.18,150,,,,,,
TSG29,TSG30C,Spinning,34.65,34.65*1.18*1.18,150,,,,,,
TSG29,TSG30D,Spinning,70.86,37.40*1.18*1.18,150,,,,,,
YGT01,无,Spinning,70.86,20.08*1.18*1.18,150,55-Piece Telescopic Lure Portable Set - Soft Bait Carp Combo,55-Pc Telescopic Lure Set,,,,
